QueryExecutionInfo{queryID=Q1, submissionTime=2025-11-11 16:41:57, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:41:57.958Z, CompletionDateTime=2025-11-11T08:42:04.538Z), pendingTime=86.0 ms, executionTime=6395.0 ms, costCents=8.7376966760}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:42:07, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:42:07.216Z, CompletionDateTime=2025-11-11T08:42:08.951Z), pendingTime=95.0 ms, executionTime=1562.0 ms, costCents=0.1758544605}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:42:22, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:42:22.905Z, CompletionDateTime=2025-11-11T08:42:24.785Z), pendingTime=65.0 ms, executionTime=1707.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:42:26, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:42:26.535Z, CompletionDateTime=2025-11-11T08:42:27.945Z), pendingTime=97.0 ms, executionTime=1195.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:42:29, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:42:29.702Z, CompletionDateTime=2025-11-11T08:42:31.297Z), pendingTime=95.0 ms, executionTime=1326.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:42:34, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:42:34.824Z, CompletionDateTime=2025-11-11T08:42:36.441Z), pendingTime=96.0 ms, executionTime=1428.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q1, submissionTime=2025-11-11 16:42:38, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:42:38.954Z, CompletionDateTime=2025-11-11T08:42:45.917Z), pendingTime=71.0 ms, executionTime=6809.0 ms, costCents=8.7376966415}
QueryExecutionInfo{queryID=Q5, submissionTime=2025-11-11 16:42:53, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:42:54.077Z, CompletionDateTime=2025-11-11T08:42:56.253Z), pendingTime=96.0 ms, executionTime=2009.0 ms, costCents=1.3536795225}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:42:56, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:42:56.727Z, CompletionDateTime=2025-11-11T08:42:58.390Z), pendingTime=98.0 ms, executionTime=1466.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:43:00, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:43:00.517Z, CompletionDateTime=2025-11-11T08:43:02.460Z), pendingTime=90.0 ms, executionTime=1773.0 ms, costCents=0.1758544605}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:43:08, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:43:08.747Z, CompletionDateTime=2025-11-11T08:43:10.885Z), pendingTime=106.0 ms, executionTime=1936.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q6, submissionTime=2025-11-11 16:43:08, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:43:09.139Z, CompletionDateTime=2025-11-11T08:43:11.667Z), pendingTime=62.0 ms, executionTime=2377.0 ms, costCents=1.6504692245}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:43:17, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:43:17.571Z, CompletionDateTime=2025-11-11T08:43:19.271Z), pendingTime=101.0 ms, executionTime=1502.0 ms, costCents=0.1758544605}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:43:22, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:43:22.685Z, CompletionDateTime=2025-11-11T08:43:24.840Z), pendingTime=88.0 ms, executionTime=1970.0 ms, costCents=0.1758542295}
QueryExecutionInfo{queryID=Q1, submissionTime=2025-11-11 16:43:36, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:43:36.898Z, CompletionDateTime=2025-11-11T08:43:54.881Z), pendingTime=91.0 ms, executionTime=17757.0 ms, costCents=8.7376965875}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:43:48, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:43:48.606Z, CompletionDateTime=2025-11-11T08:43:50.147Z), pendingTime=68.0 ms, executionTime=1394.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:43:58, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:43:58.649Z, CompletionDateTime=2025-11-11T08:44:00.545Z), pendingTime=63.0 ms, executionTime=1756.0 ms, costCents=0.1758542295}
QueryExecutionInfo{queryID=Q5, submissionTime=2025-11-11 16:43:59, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:43:59.509Z, CompletionDateTime=2025-11-11T08:44:04.798Z), pendingTime=97.0 ms, executionTime=5063.0 ms, costCents=1.3536795225}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:44:02, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:44:02.747Z, CompletionDateTime=2025-11-11T08:44:06.744Z), pendingTime=66.0 ms, executionTime=3674.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q1, submissionTime=2025-11-11 16:44:06, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:44:06.400Z, CompletionDateTime=2025-11-11T08:44:23.386Z), pendingTime=88.0 ms, executionTime=16799.0 ms, costCents=8.7376966220}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:44:12, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:44:12.532Z, CompletionDateTime=2025-11-11T08:44:14.960Z), pendingTime=95.0 ms, executionTime=2085.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:44:18, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:44:18.281Z, CompletionDateTime=2025-11-11T08:44:21.767Z), pendingTime=91.0 ms, executionTime=3305.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q1, submissionTime=2025-11-11 16:44:20, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:44:20.582Z, CompletionDateTime=2025-11-11T08:44:31.930Z), pendingTime=65.0 ms, executionTime=11196.0 ms, costCents=8.7376965875}
QueryExecutionInfo{queryID=Q5, submissionTime=2025-11-11 16:44:25, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:44:26.020Z, CompletionDateTime=2025-11-11T08:44:30.467Z), pendingTime=92.0 ms, executionTime=4279.0 ms, costCents=1.3536795225}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:44:28, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:44:28.825Z, CompletionDateTime=2025-11-11T08:44:30.670Z), pendingTime=54.0 ms, executionTime=1695.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q2, submissionTime=2025-11-11 16:44:30, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:44:30.897Z, CompletionDateTime=2025-11-11T08:44:33.618Z), pendingTime=99.0 ms, executionTime=2469.0 ms, costCents=0.3236735600}
QueryExecutionInfo{queryID=Q1, submissionTime=2025-11-11 16:44:37, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:44:37.910Z, CompletionDateTime=2025-11-11T08:44:44.423Z), pendingTime=94.0 ms, executionTime=6324.0 ms, costCents=8.7376966415}
QueryExecutionInfo{queryID=Q1, submissionTime=2025-11-11 16:44:41, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:44:41.901Z, CompletionDateTime=2025-11-11T08:44:49.993Z), pendingTime=56.0 ms, executionTime=7946.0 ms, costCents=8.7376966220}
QueryExecutionInfo{queryID=Q4, submissionTime=2025-11-11 16:44:42, status=QueryExecutionStatus(State=SUCCEEDED, SubmissionDateTime=2025-11-11T08:44:42.168Z, CompletionDateTime=2025-11-11T08:44:43.732Z), pendingTime=62.0 ms, executionTime=1436.0 ms, costCents=0.1758542295}
